,areaID,share_of_barrier,nonconvexity,number of commuting nodes
2,1,0.2185389023110312,0.013641357421875,974
0,2,0.00949126388493631,0.005001068115234375,1233
1,3,0.0006421099040647395,8.344650268554688e-07,1246
