ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
7199,6859875,2853561,27037.40758,1.082581,19433.80908,181228465
7200,6697076,0,121618.1725,1.023852,27715.46545,263579208.5
7201,1045366,0,28485.95277,0.247083,12139.67059,57736377.25
7202,13909357,2243290,117091.6103,2.47677,86623.0069,1785658015
7203,13055596,11318,96748.77822,1.967582,38403.86322,900815677.2
7204,6095316,0,106132.8894,1.025946,20548.11292,318877912
7205,1977251,0,34428.29895,0.561414,24087.58301,0
7206,1409695,0,26054.54264,0.269748,5791.989166,24686018.19
7207,28365460,10626793,191567.4651,3.100723,113583.0637,495481465.3
7208,7114279,0,128011.0083,0.977404,39089.57202,290655681.6
7209,11950170,0,80648.10127,1.927529,24035.90646,289977664.3
7210,1863996,0,42639.89287,0.326337,9709.793762,0
7211,18701752,86140,97350.13934,2.715139,31276.95837,199938063.3
7212,5248733,31421,58378.77682,0.909465,18331.17438,263011766.8
7213,20806770,1402500,180964.3674,2.89809,57669.16443,672554469
7214,5554433,638827,71310.29203,1.298382,53299.27625,366450273.2
7215,3159006,20354,38560.5721,0.486986,5929.645233,3022685.094
7216,8246035,1440,86299.15893,1.195269,18750.26981,106543096.8
7217,154261,0,4756.089133,0.061597,1151.960388,2117105
7218,95574465,1008213,788224.8065,12.5184,477072.4876,6474041872
7219,8382922,0,150838.3771,1.335197,72085.93475,374556076.9
7220,51257488,0,336393.8681,7.211628,147169.9384,920431870.8
7221,20658209,80245,310849.1451,3.205366,125548.7384,1256822885
7222,2187743,14785,36140.73856,0.380765,6934.716858,218689924
7223,4193866,0,72169.19521,0.659843,13277.31616,84045044.94
7224,37715224,6070500,181520.2016,4.90539,84051.54401,1418723897
7225,1288148,528376,14887.86667,0.340971,13283.76257,66038144.86
7226,3894444,0,31967.8803,0.690874,7544.275421,110625698.6
7227,204312251,3013818,1731393.575,23.13273,874852.9043,6967902937
7228,133231,0,4107.703899,0.053707,606.0392456,90911504
7229,2603327,0,39325.65782,0.619449,30718.00659,51254247.6
7230,3579029,24321,65699.52437,0.530809,16459.75226,217058605.1
7231,4080533,13360,53753.28899,0.650723,19400.27606,134227426.1
7232,2088744,0,37389.92286,0.421547,6941.024261,72579300.34
7233,17117331,431684,172872.375,4.352117,118575.5637,2269586773
7234,2476695,0,44564.49116,0.46454,12494.57654,13889860
7235,4473015,0,81229.46628,0.666444,12961.87634,98344147.84
7236,13253763,306339,123775.8272,1.866999,33474.83582,486642668.1
7237,10417922,11393,89411.16912,2.087831,82568.33722,678378122.3
7238,6152528,2345505,33615.07857,0.924909,51423.60004,169891905.5
7239,873632,0,41708.42961,0.206395,13877.58337,658938.6875
7240,1884243,0,26299.50229,0.437854,7241.905701,43340294.12
7241,9321976,0,77473.17068,1.538407,25937.72852,159183919.6
7242,6770282,0,96594.1348,1.278586,29193.53253,279566352
7243,5772296,0,116392.7558,0.948332,32528.72021,119064646.5
7244,470583,0,19896.37045,0.178,1420.25177,0
7245,8929843,3475154,45151.7733,1.3712,35782.00684,308265295
7246,8043441,156070,85225.11229,1.440829,22056.14105,1013003291
7247,5792150,0,107613.288,0.871326,23143.59216,5856493.75
7248,92952408,9913543,716409.2634,11.150149,340266.095,4574763074
7249,2474768,0,30877.45616,0.318529,3702.948456,44392359.22
7250,4049892,0,53524.89685,0.591626,12447.97839,1467429.875
7251,157038323,2950549,1465162.771,19.653132,981000.9201,4347613184
7252,5594727,15561,65372.78851,1.101757,37174.95508,104627325.8
7253,3350153,12242,32322.73553,0.727539,24413.95313,257567092.5
7254,40399968,59624,480783.6522,5.592475,177825.3235,1432819477
7255,9579856,0,139113.2019,1.08995,22151.01166,128638478.1
7256,2007953,0,41253.50708,0.401492,7776.698181,438456449.1
7257,66052882,20489032,232674.2041,7.905106,138464.3073,1941391591
7258,17053,0,189.9435991,0.0071,1718.677597,1690476.244
7259,6876182,0,72546.09037,1.131461,26058.67407,133441748
7260,5835258,523,51772.55082,0.903835,12509.24213,50562845.84
7261,8520735,0,41367.99325,1.27056,6446.746826,159820646.9
7262,6808364,167456,174106.0809,1.11662,36180.68872,72742147.29
7263,5903448,193,96961.00382,0.867284,21948.91479,166283257
7264,417910058,7187200,2563372.521,44.638313,1870415.129,8852497777
7265,4378462,0,54261.94939,0.700062,17590.81689,32534442.13
7266,212324374,9191651,1496092.476,25.48019,1021303.984,13249663819
7267,30015264,0,442034.357,4.209583,182135.1964,1345374715
7268,3701783,1276314,67117.46723,0.702699,35397.20984,121987757.4
