GHUB_ID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,detour_40km_b,share_barrier_40km_b,nonconvexity_40km_b
4729,0.008111647,0.004440092,0.0061027,0.005882981,0.008111647,0.004440092,0.0061027,0.005882981,0.752709979,0.877252058,0.752709979,0.877252058,0.003126096,0.003126096,0.007112856,0.007112856,,,
4730,0.010315535,0.004430168,0.007979218,0.008656324,0.010315535,0.004430168,0.007979218,0.008656324,0.58174862,0.737849151,0.58174862,0.737849151,0.004019483,0.004019483,0.011019564,0.011019564,,,
4731,0.098382448,0.024775833,0.148498433,0.050755605,0.098382448,0.024775833,0.148498433,0.050755605,0.634849116,0.731044122,0.634849116,0.731044122,0,0,0.000574608,0.000574608,,,
4732,0.031715526,0.026155058,0.022159848,0.021487966,0.031715526,0.026155058,0.022159848,0.021487966,0.739776522,0.664435878,0.739776522,0.664435878,0.025156906,0.025156906,0.031116914,0.031116914,,,
4733,0.013998534,0.00569365,0.016826006,0.01419547,0.013998534,0.00569365,0.016826006,0.01419547,0.66858321,0.582252749,0.66858321,0.582252749,0.009270394,0.009270394,0.013882499,0.013882499,,,
4734,0.000577359,0.000814945,0.001240708,0.001422036,0.000577359,0.000814945,0.001240708,0.001422036,0.645491581,0.685166687,0.645491581,0.685166687,0.000728373,0.000728373,0.000801377,0.000801377,,,
4735,0.00220189,0.001316959,0.006604467,0.005273649,0.00220189,0.001316959,0.006604467,0.005273649,0.815015849,0.872104885,0.815015849,0.872104885,0.001118167,0.001118167,0.002250991,0.002250991,,,
4736,0.415682672,0.055556167,0.404443749,0.180091798,0.415682672,0.055556167,0.404443749,0.180091798,0.83923571,1.140554,0.83923571,1.140554,0.020660747,0.020660747,0.437760121,0.437760121,,,
4737,0.002668059,0.000678884,0.00219767,0.002042386,0.002668059,0.000678884,0.00219767,0.002042386,0.582580507,0.696938692,0.582580507,0.696938692,0.000132618,0.000132618,0.000888877,0.000888877,,,
4738,0.071751217,0.027102726,0.276029507,0.053681407,0.071751217,0.027102726,0.276029507,0.053681407,1.185616866,0.830638523,1.185616866,0.830638523,0.02838161,0.02838161,0.072213533,0.072213533,,,
4739,0,0,0.000142341,0.000178444,0,0,0.000142341,0.000178444,0.611438298,0.708171542,0.611438298,0.708171542,0,0,0.000277462,0.000277462,,,
4740,0.000386382,0.000465347,0.000482978,0.000485867,0.000386382,0.000465347,0.000482978,0.000485867,0.713740557,0.680290963,0.713740557,0.680290963,0.000484693,0.000484693,0.000884949,0.000884949,,,
4741,0.000547786,0.000468142,0.00118687,0.000889472,0.000547786,0.000468142,0.00118687,0.000889472,0.476095582,0.542545997,0.476095582,0.542545997,0.000304142,0.000304142,0.001074441,0.001074441,,,
4742,0.000768358,0.000578301,0.010833441,0.003688826,0.000768358,0.000578301,0.010833441,0.003688826,0.653679585,0.634602821,0.653679585,0.634602821,0.000475124,0.000475124,0.001174771,0.001174771,,,
4743,0.009282298,0.008296818,0.005569908,0.006411407,0.009282298,0.008296818,0.005569908,0.006411407,0.816517441,0.801155068,0.816517441,0.801155068,0.007997628,0.007997628,0.009871422,0.009871422,,,
4744,0.029786153,0.001320056,0.072021942,0.033491664,0.029786153,0.001320056,0.281687931,0.010609358,0.620004327,0.660395955,0.620004327,0.823879267,0.018049588,0.018049588,0.03583308,0.03583308,,,
4745,0.192028697,0.037921473,0.347158073,0.058751762,0.192028697,0.037921473,0.347158073,0.058751762,0.685758662,0.83902677,0.685758662,0.83902677,0.0522919,0.0522919,0.240034873,0.240034873,,,
4746,0.008784923,0.002078137,0.010227503,0.00831391,0.008784923,0.002078137,0.010227503,0.00831391,0.570479444,0.634779895,0.570479444,0.634779895,0.002269472,0.002269472,0.01030037,0.01030037,,,
4747,0.001552015,0.002404672,0.000485129,0.000837283,0.001552015,0.002404672,0.000485129,0.000837283,0.486567068,0.604293799,0.486567068,0.604293799,0.002752937,0.002752937,0.002148662,0.002148662,,,
4748,0.000962258,0.00084323,0.000527311,0.000723009,0.000962258,0.00084323,0.000527311,0.000723009,0.604942848,0.656390134,0.604942848,0.656390134,0.000737017,0.000737017,0.0014616,0.0014616,,,
4749,0.000398119,0.000770761,9.95E-05,0.000192843,0.000398119,0.000770761,9.95E-05,0.000192843,0.676501502,0.733150616,0.676501502,0.733150616,0.001343444,0.001343444,0.001091041,0.001091041,,,
4750,0.010856893,0.006801079,0.011855175,0.013378148,0.010856893,0.006801079,0.011855175,0.013378148,0.677566132,0.695043351,0.677566132,0.695043351,0.004923355,0.004923355,0.008974267,0.008974267,,,
4751,0.021549412,0.01446795,0.013381285,0.016447095,0.021549412,0.01446795,0.013381285,0.016447095,0.870200495,0.79179342,0.870200495,0.79179342,0.012004882,0.012004882,0.019972856,0.019972856,,,
4752,0.000965555,0.000668757,0.001053734,0.001270144,0.000965555,0.000668757,0.001053734,0.001270144,0.73474286,0.736913247,0.73474286,0.736913247,0.000540684,0.000540684,0.001459363,0.001459363,,,
4753,0.001200655,0.000957255,0.048278436,0.01632967,0.001200655,0.000957255,0.048278436,0.01632967,0.704410248,0.754339899,0.704410248,0.754339899,0.000563399,0.000563399,0.001305776,0.001305776,,,
4754,0.318012874,0.010003786,0.424384946,0.018696858,0.318012874,0.010003786,0.424384946,0.018696858,0.732582405,0.935455173,0.732582405,0.935455173,0.013118707,0.013118707,0.356550089,0.356550089,,,
4755,0.004567999,0.002559557,0.003364322,0.003690461,0.004567999,0.002559557,0.003364322,0.003690461,0.643986048,0.702154005,0.643986048,0.702154005,0.001885631,0.001885631,0.002851924,0.002851924,,,
4756,0.010831918,0.012372945,0.002861033,0.004631008,0.010831918,0.012372945,0.002861033,0.004631008,0.449353171,0.469743449,0.449353171,0.469743449,0.010724693,0.010724693,0.007693806,0.007693806,,,
4757,0.341844462,0.043135863,0.420219689,0.041315079,0.254828615,0.022718973,0.420219689,0.041315079,0.639017417,0.620560216,0.639017417,0.620560216,0.063403308,0.063403308,0.054654759,0.054654759,,,
4758,0.351455974,0.128659442,0.485312879,0.142351836,0.351455974,0.128659442,0.485312879,0.142351836,0.569728943,0.562630437,0.569728943,0.562630437,0.140511587,0.140511587,0.386351364,0.386351364,,,
4759,0.002626589,0.0016502,0.016893861,0.006458776,0.002626589,0.0016502,0.016893861,0.006458776,0.738405064,0.747225894,0.738405064,0.747225894,0.001519251,0.001519251,0.001943171,0.001943171,,,
4760,0.002580079,0.001271348,0.034503727,0.025395785,0.002580079,0.001271348,0.034503727,0.025395785,0.752892222,0.742196081,0.752892222,0.742196081,0.00129809,0.00129809,0.001167188,0.001167188,,,
4761,0.027031234,0.025148032,0.034649519,0.030229678,0.027031234,0.025148032,0.034649519,0.030229678,0.88180139,0.801722119,0.88180139,0.801722119,0.025051201,0.025051201,0.028353013,0.028353013,,,
4762,0.156373416,0.039558046,0.161268559,0.117367975,0.156373416,0.039558046,0.161268559,0.117367975,0.821033788,0.957167268,0.821033788,0.957167268,0.051417146,0.051417146,0.178025556,0.178025556,,,
4763,0.005146904,0.003167748,0.002798529,0.00311447,0.005146904,0.003167748,0.002798529,0.00311447,0.556625523,0.642240254,0.556625523,0.642240254,0.000243388,0.000243388,0.002469438,0.002469438,,,
4764,0.089905473,0.051881198,0.072160378,0.079495415,0.089905473,0.051881198,0.072160378,0.079495415,1.029064528,0.935280424,1.029064528,0.935280424,0.038992293,0.038992293,0.070161192,0.070161192,,,
4765,0.005109308,0.003360429,0.005612863,0.005441899,0.005109308,0.003360429,0.005612863,0.005441899,0.564023578,0.588400723,0.564023578,0.588400723,0.001000138,0.001000138,0.003344123,0.003344123,,,
