GHUB_ID,precip2015,temp2015,GDP,elevation,biom,soil,climate,capital,riverba,costal,UE_Area,CONTINENT,Country,countr_iso,ucid,pop100,BU100,Vol_tot,Vol_non,gdp2
26,1626.284546,10.47380447,380933156.1,443,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,WAIKATO,0,11.46647832,Oceania,New Zealand,NZL,0,14669.33438,4673508,37634311,120431,413719216
27,1180.914368,11.74644279,366209223.6,92,Temperate Broadleaf and Mixed Forests,Luvisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,11.1702464,Oceania,New Zealand,NZL,13124,14500.17372,3048562,19631103,1750998,323401020.3
28,951.8160095,10.49027824,480832855,106,"Temperate Grasslands, Savannas and Shrublands",Cambisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,15.45918449,Oceania,New Zealand,NZL,0,18974.49476,3210162,17022862,1735217,444661032.2
29,1527.220734,13.01498032,824211767.1,47,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,20.10501858,Oceania,New Zealand,NZL,0,29495.83029,5708636,40097672,885478,734259426.3
30,1085.513672,10.68571854,495471654.1,77,"Temperate Grasslands, Savannas and Shrublands",Cambisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,10.67910345,Oceania,New Zealand,NZL,13071,16775.80398,2227979,12526823,828213,419803823.8
31,1619.36792,12.78056717,368680610.8,54,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,9.760042795,Oceania,New Zealand,NZL,0,13367.69695,2395859,17586536,164566,212820436.1
32,1467.832031,13.28890038,321865128,58,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,WAIKATO,1,9.912472089,Oceania,New Zealand,NZL,13127,11551.96036,2555785,21931803,665842,250141677
33,1597.083984,12.37778378,111794622.4,160,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,10.61372615,Oceania,New Zealand,NZL,0,4687.415171,1604181,13946401,424,35808687.1
34,747.8166046,10.05832195,212074696,62,"Temperate Grasslands, Savannas and Shrublands",Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,10.56082278,Oceania,New Zealand,NZL,0,11074.85411,1901640,11020017,1180741,122552280.1
35,464.1570739,18.53274155,1.06E+11,54,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,1,1675.063573,Oceania,Australia,AUS,11640,1812042.118,298698929,2647805532,368679824,97231329461
