areaID,elev,dry,prep2015,temp2015,costal,capital,buVolu_non,buVolu_Tot,GDP2
157,1160,0,1594.010742,22.61484528,1,1,54360447,1064353195,5052245830
158,38,0,500.6600189,11.32581997,1,0,51675957,252753984,2324225009
159,212,0,436.8999023,9.74583149,0,0,15733875,144469451,1243092784
160,144,0,1279.554382,9.227563858,1,0,253132616,1283130027,76266997153
161,74,0,704.9888763,10.83056068,1,1,657995507,4082768414,5.38E+11
162,37,0,349.5272827,16.52575493,0,0,92446442,546342162,24411077836
163,37,0,1497.251953,22.12812424,0,0,44630878,180763438,6380994840
164,217,0,1040.563934,10.12066841,1,0,2214825576,8974495273,4.48E+11
165,121,0,1110.646271,9.348723412,1,0,65145728,474154309,32269785941
166,278,0,921.3814087,8.167187691,0,0,549277044,2769068868,1.37E+11
167,111,0,1383.173584,15.92445374,0,0,210954926,1211590739,54978276909
168,104,0,1638.356689,11.08594227,1,0,394315802,2285674754,90623947984
169,265,0,1248.211029,19.41388893,0,0,18705093,209546642,9707520273
170,31,0,1697.245422,21.22500038,1,0,1167403947,4970236657,2.63E+11
171,222,0,195.4107971,16.95184326,0,0,9984788,272379153,4480626725
172,520,0,513.3334351,14.0549984,0,0,199236739,2092975433,27040391269
173,1025,0,651.3999023,25.25832558,1,0,76827340,1165995543,67513473977
174,15,1,551.862442,28.82813644,1,0,3794642,239691067,14028575825
175,15,0,1768.338501,28.0211544,1,0,270354177,2686187316,92531282056
176,2,0,2051.487488,28.47262955,1,0,2727342,76228671,923446637.5
177,2391,1,386.299942,20.85501099,0,1,3290610,441172378,11245798607
178,1283,0,986.6748047,21.41873741,0,0,15283734,171748779,819538317.6
179,4,0,507.4625244,13.85000038,1,0,719433929,4457038131,2.85E+11
180,83,0,461.2791595,12.1430521,0,1,1343714380,11868522429,5.53E+11
181,80,0,911.5898438,12.76416016,1,0,77733807,434581786,29135886502
182,55,0,1888.875,23.32845879,1,0,443803100,4187633950,88820779436
183,41,0,1701.781677,17.02738571,1,0,621380702,6255315876,1.95E+11
184,90,0,1953.201965,23.50831604,1,0,185190455,590684702,1.79E+11
185,7,0,1766.156616,23.26307106,1,0,5720789,93702705,1994069816
186,23,0,1800.026733,22.80908585,1,0,2286180473,13211740191,2.09E+11
187,366,0,258.9579849,17.24694252,0,0,3380158292,15018002027,7.93E+11
188,98,0,907.9920044,9.542359352,0,0,135349916,636410955,28907947338
189,78,0,1175.7323,11.31904793,1,0,1731783407,11302403013,1.09E+12
190,74,0,1234.962067,12.32976341,1,0,807294308,4550598188,3.00E+11
191,638,1,77.49092674,26.81438255,0,1,456064329,3201317361,3.17E+11
192,18,1,1916.100037,27.92871094,1,1,380393330,1578343382,3.42E+11
193,178,0,1816.19165,17.23250961,1,0,17155908,543603508,19079819458
194,465,0,1424.875488,17.46249962,0,0,3052157,55037185,3458081669
195,195,0,931.1797485,10.08084679,1,0,124888395,549158824,20338601031
196,265,0,974.8687134,10.01823235,1,0,346429082,1939107935,80832000255
197,328,0,1439.413513,18.49998856,0,0,10692336,100832839,4056236605
198,79,0,856.0352783,12.1083355,1,1,1280315730,9300781442,6.51E+11
199,114,0,1458.550781,14.3450098,1,0,209347447,1724765950,75879541327
