GUB_ID,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b
11470,0.010274578,0.004851611,0.001575323,0.001153789,0.001575323,0.001153789,0.010274578,0.004851611,0.843786448,0.851808538,0.843786448,0.851808538,0.001100933,0.001100933,0.001754404,0.001754404
11471,0.001085691,0.00117641,0.002186253,0.002223773,0.002186253,0.002223773,0.001085691,0.00117641,0.649874136,0.655203303,0.649874136,0.655203303,0.000808371,0.000808371,0.004348206,0.004348206
11472,0.042852513,0.037863221,0.059774158,0.030671444,0.059774158,0.030671444,0.042852513,0.037863221,1.215642739,0.91194306,1.215642739,0.91194306,0.008820121,0.008820121,0.028460204,0.028460204
11473,0.007467553,0.007065778,0.0027045,0.002536988,0.0027045,0.002536988,0.007467553,0.007065778,0.95996189,0.777512323,0.95996189,0.777512323,0.005822374,0.005822374,0.00930121,0.00930121
11474,0.582063401,0.311139077,0.535660028,0.121143326,0.535660028,0.121143326,0.582063401,0.311139077,0.591500142,0.986688526,0.591500142,0.986688526,0.043636639,0.043636639,0.163642684,0.163642684
11475,0.005548459,0.00833133,0.01740768,0.019555442,0.01740768,0.019555442,0.005548459,0.00833133,1.265560365,0.895802031,1.265560365,0.895802031,0.121020809,0.121020809,0.096395932,0.096395932
11476,0.14159151,0.097194754,0.113560434,0.058644649,0.113560434,0.058644649,0.14159151,0.097194754,0.761384702,0.825185059,0.761384702,0.825185059,0.021945503,0.021945503,0.03939932,0.03939932
11477,0.245931904,0.116941385,0.101482082,0.030880956,0.101482082,0.030880956,0.245931904,0.116941385,0.585254605,0.716401108,0.585254605,0.716401108,0.074732326,0.074732326,0.180324357,0.180324357
11478,0.336850851,0.064700842,0.034467459,0.013343403,0.034467459,0.013343403,0.336850851,0.064700842,0.629089457,0.940319238,0.629089457,0.940319238,0.008566434,0.008566434,0.016371711,0.016371711
11479,0.255883089,0.150134832,0.199141228,0.121748574,0.199141228,0.121748574,0.255883089,0.150134832,0.96359915,0.841713949,0.96359915,0.841713949,0.084105991,0.084105991,0.142707011,0.142707011
11480,0.001470222,0.00159594,0.001668397,0.001689064,0.001668397,0.001689064,0.001470222,0.00159594,0.773100472,0.72786828,0.773100472,0.72786828,0.001660542,0.001660542,0.001800402,0.001800402
11481,0.0004433,0.000264339,0.000351772,0.000267811,0.000351772,0.000267811,0.0004433,0.000264339,0.546517956,0.532286059,0.546517956,0.532286059,0,0,0.00105394,0.00105394
11482,0.058487904,0.032454468,0.015537703,0.011571676,0.015537703,0.011571676,0.058487904,0.032454468,0.813341017,0.707504992,0.813341017,0.707504992,0.010727781,0.010727781,0.01457074,0.01457074
11483,0.00288107,0.00296834,0.00330881,0.003457846,0.00330881,0.003457846,0.00288107,0.00296834,0.517454237,0.574063964,0.517454237,0.574063964,0.011200659,0.011200659,0.011134789,0.011134789
11484,0.008786626,0.009510763,0.014411433,0.011635593,0.014411433,0.011635593,0.008786626,0.009510763,0.800038668,0.804616369,0.800038668,0.804616369,0,0,0.000699191,0.000699191
11485,0.000797595,0.000727456,0.000882938,0.000731689,0.000882938,0.000731689,0.000797595,0.000727456,0.53318999,0.453968716,0.53318999,0.453968716,0.000803277,0.000803277,0.001037968,0.001037968
11486,0.01201499,0.008639627,0.003445934,0.0045566,0.003445934,0.0045566,0.01201499,0.008639627,0.631056207,0.595829751,0.631056207,0.595829751,0.006034084,0.006034084,0.005748273,0.005748273
11487,0.002234368,0.002201564,0.001934399,0.002195197,0.001934399,0.002195197,0.002234368,0.002201564,0.671571366,0.539494551,0.671571366,0.539494551,0.002662001,0.002662001,0.004320848,0.004320848
11488,0.00150624,0.00212687,0.002285425,0.002199242,0.002285425,0.002199242,0.00150624,0.00212687,0.640040724,0.521810243,0.640040724,0.521810243,0,0,0.000713804,0.000713804
11489,0.001860902,0.001697022,0.001982387,0.002448738,0.001982387,0.002448738,0.001860902,0.001697022,0.761838358,0.685311079,0.761838358,0.685311079,7.10E-05,7.10E-05,0.002649455,0.002649455
11490,0.002461199,0.00258648,0.003372319,0.003299515,0.003372319,0.003299515,0.002461199,0.00258648,0.722334524,0.594313236,0.722334524,0.594313236,0.003413349,0.003413349,0.004436553,0.004436553
11491,0.002954288,0.002250778,0.001279119,0.00102538,0.001279119,0.00102538,0.002954288,0.002250778,0.821788358,0.587769208,0.821788358,0.587769208,0.001766521,0.001766521,0.001750349,0.001750349
11492,0.001093901,0.001385617,0.002101053,0.002827968,0.002101053,0.002827968,0.001093901,0.001385617,0.583105759,0.620301443,0.583105759,0.620301443,0.004154755,0.004154755,0.005642999,0.005642999
11493,0.006746033,0.004675516,0.007106592,0.007202193,0.007106592,0.007202193,0.006746033,0.004675516,0.761016998,0.59103817,0.761016998,0.59103817,0.018148834,0.018148834,0.025929523,0.025929523
11494,0.002582897,0.002256245,0.003574813,0.003852752,0.003574813,0.003852752,0.002582897,0.002256245,0.597172041,0.664562735,0.597172041,0.664562735,0.000721891,0.000721891,0.00180217,0.00180217
11495,0.001172105,0.001126682,0.001407393,0.000332119,0.001407393,0.000332119,0.001172105,0.001126682,0.4846652,0.518058704,0.4846652,0.518058704,0,0,0.00056402,0.00056402
11496,0.002682502,0.00377063,0.006938334,0.00634633,0.006938334,0.00634633,0.002682502,0.00377063,0.523770673,0.567475822,0.523770673,0.567475822,0.000343724,0.000343724,0.003625339,0.003625339
11497,0.003622402,0.004101245,0.004884903,0.003655333,0.004884903,0.003655333,0.003622402,0.004101245,0.490303537,0.589474791,0.490303537,0.589474791,0.003811558,0.003811558,0.004869318,0.004869318
11498,0.002401818,0.002656457,0.002479417,0.001736774,0.002479417,0.001736774,0.002401818,0.002656457,0.624649761,0.634854224,0.624649761,0.634854224,0.00071985,0.00071985,0.003740265,0.003740265
11499,0.003763656,0.003095567,0.002814646,0.003211627,0.002814646,0.003211627,0.003763656,0.003095567,0.606112825,0.579584263,0.606112825,0.579584263,0.006762463,0.006762463,0.006255634,0.006255634
11500,0.003923649,0.004439818,0.0039808,0.003513677,0.0039808,0.003513677,0.003923649,0.004439818,0.632099577,0.518708884,0.632099577,0.518708884,0.002625778,0.002625778,0.002786728,0.002786728
11501,0.00267658,0.002232888,0.001928982,0.002206072,0.001928982,0.002206072,0.00267658,0.002232888,0.692852253,0.542010791,0.692852253,0.542010791,0.002813478,0.002813478,0.002204582,0.002204582
11502,0.005941128,0.00618403,0.002110979,0.002292872,0.002110979,0.002292872,0.005941128,0.00618403,0.502865541,0.540233737,0.502865541,0.540233737,0.00214442,0.00214442,0.002628211,0.002628211
11503,0.001935026,0.002321057,0.002953109,0.004198379,0.002953109,0.004198379,0.001935026,0.002321057,0.676367869,0.584797021,0.676367869,0.584797021,0.002018081,0.002018081,0.010262659,0.010262659
11504,0.008976562,0.00990442,0.007893577,0.006413924,0.007893577,0.006413924,0.008976562,0.00990442,0.582287294,0.479824341,0.582287294,0.479824341,0.002726965,0.002726965,0.003971933,0.003971933
11505,0.012484362,0.011343745,0.009885455,0.00717594,0.009885455,0.00717594,0.012484362,0.011343745,0.64164759,0.550551936,0.64164759,0.550551936,0.002749067,0.002749067,0.004628129,0.004628129
11506,0.008017059,0.005391925,0.001265869,0.001136755,0.001265869,0.001136755,0.008017059,0.005391925,0.742942568,0.6043676,0.742942568,0.6043676,0,0,0.000757675,0.000757675
11507,0.005504049,0.005191477,0.005425352,0.003064201,0.005425352,0.003064201,0.005504049,0.005191477,0.561986838,0.561748192,0.561986838,0.561748192,0,0,0.000427887,0.000427887
11508,0.00976853,0.010569744,0.012954364,0.008920727,0.012954364,0.008920727,0.00976853,0.010569744,0.467788428,0.490630313,0.467788428,0.490630313,0.007956452,0.007956452,0.011333725,0.011333725
11509,0.011914454,0.010624064,0.008326075,0.007935269,0.008326075,0.007935269,0.011914454,0.010624064,0.45892582,0.47948996,0.45892582,0.47948996,0.004339318,0.004339318,0.009322227,0.009322227
11510,0.002585607,0.003668525,0.004680517,0.006342094,0.004680517,0.006342094,0.002585607,0.003668525,0.529324846,0.552481431,0.529324846,0.552481431,0.002254669,0.002254669,0.011843572,0.011843572
11511,0.043490192,0.017591543,0.007781408,0.007685101,0.007781408,0.007685101,0.043490192,0.017591543,0.584626713,0.655753483,0.584626713,0.655753483,0.005858851,0.005858851,0.009513321,0.009513321
11512,0.0031823,0.003424797,0.002544032,0.001314539,0.002544032,0.001314539,0.0031823,0.003424797,0.519807926,0.49015414,0.519807926,0.49015414,0.002142369,0.002142369,0.003559636,0.003559636
11513,0.011113977,0.007911691,0.005672201,0.001395052,0.005672201,0.001395052,0.011113977,0.007911691,0.657213886,0.698301743,0.657213886,0.698301743,0,0,0.00083047,0.00083047
11514,0.00390605,0.002400567,0.002269416,0.002203447,0.002269416,0.002203447,0.00390605,0.002400567,0.639103923,0.587546719,0.639103923,0.587546719,0.001893826,0.001893826,0.002123387,0.002123387
11515,0.003658691,0.003703989,0.005743182,0.005353399,0.005743182,0.005353399,0.003658691,0.003703989,0.548553188,0.519300384,0.548553188,0.519300384,0.004467485,0.004467485,0.006221624,0.006221624
11516,0.014603786,0.011519615,0.009936071,0.006738146,0.009936071,0.006738146,0.014603786,0.011519615,0.49540019,0.486005778,0.49540019,0.486005778,0.005528427,0.005528427,0.00808058,0.00808058
11517,0.012567549,0.015486213,0.018768844,0.006508424,0.018768844,0.006508424,0.012567549,0.015486213,0.836064287,0.747285039,0.836064287,0.747285039,0.011815912,0.011815912,0.011909581,0.011909581
11518,0.004269552,0.003937724,0.004517194,0.004319743,0.004517194,0.004319743,0.004269552,0.003937724,0.511657786,0.445114283,0.511657786,0.445114283,0.003853858,0.003853858,0.004268138,0.004268138
11519,0.007489041,0.009904662,0.020001533,0.019680092,0.020001533,0.019680092,0.007489041,0.009904662,0.542546225,0.504295716,0.542546225,0.504295716,0.00305613,0.00305613,0.015226379,0.015226379
11520,0.007770054,0.003539991,0.00188156,0.001300022,0.00188156,0.001300022,0.007770054,0.003539991,0.628602393,0.752802329,0.628602393,0.752802329,0,0,0.000644892,0.000644892
11521,0.018483072,0.013170357,0.005293689,0.002326405,0.005293689,0.002326405,0.018483072,0.013170357,0.582749354,0.673224163,0.582749354,0.673224163,0.011268909,0.011268909,0.01648769,0.01648769
