areaID,City Name,Country,Region,CBD Latitude,CBD Longitude,Population,BU_area(ha),Urban Built-up Area (ha),Urbanized Open Space  (ha),Urban Extent (ha),Built-up Area Density (persons/ha),Urban Extent Density (persons / ha),Frgmentation: Saturation  (Built-up Area/Urban Extent), Fragmentation: Openness index,Compactness: Proximity index,Compactness: Cohesion index,Share of Built-up Area Occupied by Roads(90-15),the 4-Way Intersection Density (number per km2_90_15 ),Share of Built-up Area That Is Gridded(90_15)
154,Istanbul,Turkey,Western Asia and North Africa,40.981,29.065,13974428,102589,92509,29017,131606,136,106,0.78,0.17,0.58,0.58,0.28,14.8,0.05
155,Kayseri,Turkey,Western Asia and North Africa,38.724,35.48,673805,10054,6611,7774,17828,67,38,0.56,0.39,0.73,0.72,0.27,37.2,0
156,Malatya,Turkey,Western Asia and North Africa,38.35,38.27,394722,5147,3653,3397,8544,77,46,0.6,0.37,0.59,0.58,0.28,14.2,0
157,Kampala,Uganda,Sub-Saharan Africa,0.315,32.585,3017000,30040,21223,21280,51321,100,59,0.59,0.35,0.75,0.72,0.12,5.3,0
158,Nikolaev,Ukraine,Europe and Japan,46.974,32.029,334691,6566,5375,2583,9149,51,37,0.72,0.28,0.74,0.72,0.15,15.8,0
159,Rovno,Ukraine,Europe and Japan,50.624,26.248,286691,6201,4127,3277,9477,46,30,0.65,0.34,0.65,0.64,0.15,11.8,0
160,Manchester,United Kingdom,Europe and Japan,53.47,-2.474,2585614,51040,41675,27656,78696,51,33,0.65,0.31,0.84,0.83,0.19,8.3,0
161,London,United Kingdom,Europe and Japan,51.506,-0.139,11197941,177273,151304,73498,250771,63,45,0.71,0.25,0.82,0.79,0.1,10.4,0
162,Modesto,United States,Land-Rich Developed Countries,37.649,-120.993,458146,22728,18630,10247,32976,20,14,0.69,0.25,0.67,0.64,0.29,26.5,0
163,Gainesville,United States,Land-Rich Developed Countries,29.661,-82.377,175756,7663,3927,7182,14845,23,12,0.52,0.47,0.84,0.83,0.18,4.9,0
164,Chicago,United States,Land-Rich Developed Countries,41.86,-87.864,8913778,510972,440661,189867,700838,17,13,0.73,0.21,0.85,0.84,0.25,11.8,0
165,Springfield,United States,Land-Rich Developed Countries,37.19,-93.293,530272,36637,22210,31017,67653,14,8,0.54,0.41,0.81,0.79,0.16,8.5,0
166,Minneapolis,United States,Land-Rich Developed Countries,44.959,-93.256,2626920,142874,98968,108383,251256,18,10,0.57,0.38,0.88,0.87,0.21,5.4,0
167,Raleigh,United States,Land-Rich Developed Countries,35.807,-78.675,1188416,78270,41155,80658,158928,15,7,0.49,0.47,0.78,0.77,0.19,5.7,0
168,Portland,United States,Land-Rich Developed Countries,45.52,-122.666,1904409,88455,75185,40068,128523,22,15,0.69,0.26,0.84,0.83,0.2,4.4,0
169,Killeen,United States,Land-Rich Developed Countries,31.112,-97.732,225248,17686,12421,12880,30566,13,7,0.58,0.38,0.82,0.8,0.23,6.9,0.03
170,Houston,United States,Land-Rich Developed Countries,29.78,-95.386,5399338,272394,217995,150754,423148,20,13,0.64,0.3,0.87,0.85,0.2,8.9,0
171,Bukhara,Uzbekistan,South and Central Asia,39.763,64.465,369044,14153,9827,7483,21636,26,17,0.65,0.36,0.76,0.76,0.15,3.2,0
172,Tashkent,Uzbekistan,South and Central Asia,41.297,69.233,3428914,63449,47173,38551,102000,54,34,0.62,0.31,0.68,0.64,0.12,7.3,0
173,Caracas,Venezuela,Latin America and the Caribbean,10.479,-66.897,3104392,16352,13283,7851,24202,190,128,0.68,0.26,0.77,0.77,0.21,2.8,0
174,Cabimas,Venezuela,Latin America and the Caribbean,10.284,-71.37,460894,9488,8194,3452,12940,49,36,0.73,0.23,0.36,0.38,0.21,22.3,0.08
175,Ho_Chi_Minh_City,Vietnam,Southeast Asia,10.83,106.713,10187671,63478,47604,35913,99391,160,103,0.64,0.32,0.74,0.73,0.15,6.8,0.03
176,Vinh_Long,Vietnam,Southeast Asia,10.25,105.967,222220,3794,2324,2689,6483,59,34,0.59,0.43,0.7,0.68,0.1,6.3,0
177,Sana,Yemen,Western Asia and North Africa,15.363,44.208,2258322,22113,15395,14277,36390,102,62,0.61,0.31,0.7,0.69,0.28,15.4,0
178,Ndola,Zambia,Sub-Saharan Africa,-12.981,28.634,443327,4738,3702,3048,7786,94,57,0.61,0.36,0.81,0.8,0.13,22.3,0
179,Tianjin,China,East Asia and the Pacific,39.142,117.189,10056078,152442,111533,83849,236292,66,43,0.65,0.33,0.76,0.74,0.23,15.9,0
180,Beijing,China,East Asia and the Pacific,39.92,116.37,20669397,265434,175362,190250,455684,78,45,0.58,0.34,0.8,0.77,0.26,34.6,0.03
181,Cheonan,Korea Rep.,East Asia and the Pacific,36.826,127.144,552995,9037,4528,8014,17051,61,32,0.53,0.44,0.66,0.64,0.26,15.2,0
182,Shenzhen,China,East Asia and the Pacific,24.316,116.112,10945126,78521,70152,25598,104119,139,105,0.75,0.21,0.68,0.67,0.25,82.4,0
183,Hangzhou,China,East Asia and the Pacific,30.305,120.168,10446329,196261,108115,175928,372189,53,28,0.53,0.44,0.84,0.83,0.27,23.9,0.03
184,Hong_Kong,China,East Asia and the Pacific,22.346,114.183,4322119,9254,7487,3024,12278,467,352,0.75,0.27,0.69,0.68,0.2,7.9,0.03
185,Kaiping,China,East Asia and the Pacific,22.38,112.688,191749,2045,1196,1183,3227,94,59,0.63,0.43,0.86,0.84,0.24,49.5,0
186,Guangzhou,China,East Asia and the Pacific,22.936,113.608,24657221,323148,237094,185112,508259,76,49,0.64,0.34,0.79,0.77,0.19,9.7,0
187,Los_Angeles,United States,Land-Rich Developed Countries,33.971,-117.969,15138973,459047,424453,126855,585902,33,26,0.78,0.17,0.74,0.73,0.26,8.2,0
188,Sheffield,United Kingdom,Europe and Japan,53.454,-1.356,1166836,27394,20908,16391,43785,43,27,0.63,0.35,0.67,0.67,0.17,6.4,0
189,New_York,United States,Land-Rich Developed Countries,40.842,-73.798,18412093,747852,666185,203251,951103,25,19,0.79,0.18,0.7,0.69,0.13,1.8,0
190,Philadelphia,United States,Land-Rich Developed Countries,40.015,-75.168,5852880,298214,222643,193646,491860,20,12,0.61,0.34,0.81,0.79,0.15,5.2,0
191,Riyadh,Saudi Arabia,Western Asia and North Africa,24.686,46.742,5552240,95861,84857,31945,127805,58,43,0.75,0.19,0.91,0.9,0.35,4.9,0
192,Singapore,Singapore,Southeast Asia,1.29,103.85,5085789,27392,22311,14646,42039,186,121,0.65,0.33,0.74,0.75,0.26,16.2,0.1
193,Zhuji,China,East Asia and the Pacific,29.725,120.237,979670,43826,19667,45343,89168,22,11,0.49,0.5,0.76,0.74,0.23,17.7,0
194,Guixi,China,East Asia and the Pacific,30.332,107.348,198120,1862,1374,1070,2931,106,68,0.64,0.32,0.79,0.78,0.18,5.8,0
195,Toledo,United States,Land-Rich Developed Countries,41.655,-83.602,489974,33057,23668,22984,56042,15,9,0.59,0.37,0.92,0.91,0.18,3.3,0
196,Cleveland,United States,Land-Rich Developed Countries,41.47,-81.636,1865023,116854,88282,75302,192157,16,10,0.61,0.32,0.71,0.7,0.16,10.9,0
197,Chongqing,China,East Asia and the Pacific,29.595,106.231,238159,5019,3512,2798,7816,47,30,0.64,0.33,0.49,0.5,0.28,11.1,0
198,Seoul,Korea Rep.,East Asia and the Pacific,37.495,126.939,23711624,199578,151051,115171,314748,119,75,0.63,0.3,0.8,0.79,0.2,14.9,0
199,Busan,Korea Rep.,East Asia and the Pacific,35.167,129.036,3974065,32657,25259,15228,47885,122,83,0.68,0.31,0.65,0.64,0.29,18.3,0
