areaID,City Name,Country,Region,CBD Latitude,CBD Longitude,Population,BU_area(ha),Urban Built-up Area (ha),Urbanized Open Space  (ha),Urban Extent (ha),Built-up Area Density (persons/ha),Urban Extent Density (persons / ha),Frgmentation: Saturation  (Built-up Area/Urban Extent), Fragmentation: Openness index,Compactness: Proximity index,Compactness: Cohesion index,Share of Built-up Area Occupied by Roads(90-15),the 4-Way Intersection Density (number per km2_90_15 ),Share of Built-up Area That Is Gridded(90_15)
87,Parepare,Indonesia,Southeast Asia,119.633,-4.023,104563,662,349,467,1130,158,93,0.59,0.45,0.69,0.69,0.11,19.8,0
88,Palembang,Indonesia,Southeast Asia,-2.958,104.736,1721220,20960,16507,10788,31748,82,54,0.66,0.29,0.86,0.84,0.14,6.9,0
89,Medan,Indonesia,Southeast Asia,3.596,98.651,3771804,39096,28464,22461,61557,96,61,0.64,0.31,0.75,0.73,0.11,4.1,0
90,Pematangsiantar,Indonesia,Southeast Asia,2.962,99.074,219790,1650,1296,920,2571,133,86,0.64,0.32,0.92,0.91,0.14,6.8,0
91,Gorgan,Iran,South and Central Asia,36.843,54.436,375741,3235,2571,1288,4523,116,83,0.72,0.26,0.86,0.84,0.24,15.2,0
92,Ahvaz,Iran,South and Central Asia,31.32,48.665,1178560,12873,10520,6026,18899,92,62,0.68,0.28,0.81,0.79,0.23,19.1,0
93,Qom,Iran,South and Central Asia,34.64,50.876,1071783,8404,6777,3216,11620,128,92,0.72,0.25,0.78,0.76,0.29,14.5,0
94,Tehran,Iran,South and Central Asia,35.705,51.384,9675929,61367,54161,17030,78398,158,123,0.78,0.19,0.79,0.77,0.28,23.5,0
95,Baghdad,Iraq,Western Asia and North Africa,33.32,44.379,5279193,56288,48597,21207,77496,94,68,0.73,0.24,0.84,0.81,0.24,17.3,0
96,Milan,Italy,Europe and Japan,45.608,9.222,6402051,178364,136814,98813,277177,36,23,0.64,0.31,0.77,0.76,0.18,14,0
97,Palermo,Italy,Europe and Japan,38.135,13.33,822940,13249,9888,7639,20888,62,39,0.63,0.32,0.58,0.57,0.19,10.2,0
98,Fukuoka,Japan,Europe and Japan,33.598,130.437,2306030,34507,30259,10996,45503,67,51,0.76,0.21,0.69,0.67,0.29,54.9,0
99,Okayama,Japan,Europe and Japan,34.657,133.949,1277186,45925,33465,26516,72442,28,18,0.63,0.34,0.77,0.75,0.23,38.2,0
100,Osaka,Japan,Europe and Japan,34.718,135.389,8709527,95077,89230,18681,113758,92,77,0.84,0.14,0.77,0.76,0.26,38,0
101,Tokyo,Japan,Europe and Japan,35.682,139.649,34765638,448929,380755,194311,643240,77,54,0.7,0.23,0.84,0.82,0.25,47.2,0.03
102,Yamaguchi,Japan,Europe and Japan,34.155,131.458,244194,11841,7377,8165,20007,21,12,0.59,0.38,0.58,0.59,0.29,42,0
103,Shymkent,Kazakhstan,South and Central Asia,42.315,69.63,651614,19457,15179,10279,29736,33,22,0.65,0.28,0.72,0.7,0.17,13.3,0
104,Nakuru,Kenya,Sub-Saharan Africa,-0.294,36.058,326160,4729,2762,4395,9124,69,36,0.52,0.43,0.67,0.68,0.21,16.8,0
105,Kaunas,Lithuania,Europe and Japan,54.903,23.925,298743,8090,6479,4064,12154,37,25,0.67,0.31,0.81,0.79,0.12,7.2,0
106,Ipoh,Malaysia,Southeast Asia,4.59,101.077,793675,25310,20444,13065,38374,31,21,0.66,0.31,0.76,0.74,0.3,8.1,0.03
107,Rawang,Malaysia,Southeast Asia,3.33,101.577,236967,4876,2610,4344,9220,49,26,0.53,0.48,0.65,0.65,0.29,13.8,0
108,Bamako,Mali,Sub-Saharan Africa,12.65,-8,2358106,17644,14501,7894,25538,134,92,0.69,0.25,0.82,0.81,0.2,45.6,0.18
109,Tijuana,Mexico,Latin America and the Caribbean,32.499,-116.97,1706084,28626,25718,7916,36543,60,47,0.78,0.17,0.85,0.83,0.26,27.9,0.13
110,Guadalajara,Mexico,Latin America and the Caribbean,20.66,-103.357,4375721,51625,44886,17191,68816,85,64,0.75,0.2,0.88,0.87,0.27,19.2,0.08
111,Mexico_City,Mexico,Latin America and the Caribbean,19.446,-99.123,17765121,161821,144222,48198,210020,110,85,0.77,0.16,0.84,0.82,0.23,24.8,0.08
112,Culiacan,Mexico,Latin America and the Caribbean,24.798,-107.402,625346,11563,10008,3839,15402,54,41,0.75,0.21,0.9,0.89,0.29,35.4,0.08
113,Reynosa,Mexico,Latin America and the Caribbean,26.063,-98.302,479078,12028,10006,4356,16384,40,29,0.73,0.23,0.8,0.79,0.3,50.7,0.05
114,Ulaanbaatar,Mongolia,East Asia and the Pacific,47.93,106.889,1070573,15493,13567,4558,20051,69,53,0.77,0.19,0.8,0.78,0.12,9.6,0
115,Marrakesh,Morocco,Western Asia and North Africa,31.636,-8.021,770422,9999,8252,4303,14302,77,54,0.7,0.26,0.71,0.7,0.26,26.9,0
116,Beira,Mozambique,Sub-Saharan Africa,-19.831,34.86,382575,6208,3225,5944,12153,62,31,0.51,0.48,0.4,0.43,0.11,7.6,0.08
117,Myeik,Myanmar,Southeast Asia,12.448,98.618,216734,1079,553,861,1940,201,112,0.56,0.44,0.82,0.81,0.13,19.8,0
118,Pokhara,Nepal,South and Central Asia,28.22,83.98,272830,1630,1213,1036,2667,167,102,0.61,0.37,0.86,0.84,0.17,6.9,0
119,Zwolle,Netherlands,Europe and Japan,52.513,6.09,108237,3197,2743,1125,4322,34,25,0.74,0.25,0.9,0.88,0.26,47,0
120,Auckland,New Zealand,Land-Rich Developed Countries,-36.915,174.786,1300733,34602,30012,14225,48826,38,27,0.71,0.29,0.73,0.72,0.19,5.8,0
